Experiment,Val_mAP@0.5,Val_mAP@0.5:0.95,Precision,Recall,Test_mAP@0.5,Val-Test_Gap_%,Train-Val_Gap_%,Gap_Std_%,Convergence_Epoch,Stability_Std,Rank_mAP50-95,Rank_Test_mAP,Rank_Train-Val_Gap,Rank_Val-Test_Gap,Rank_Convergence,Rank_Stability,Total_Score
Optimzer Config Small Lr0 0100 Momentum0 9500 Weight Decay0 1000,0.9950,0.9759,0.9994,0.9971,0.9950,0.0000,12.1773,28.4738,4,0.0298,1.0000,13.5000,18.0000,13.0000,2.5000,11.0000,99.0000
Optimzer Config Small Lr0 0010 Momentum0 9000 Weight Decay0 0010,0.9950,0.9681,0.9996,0.9971,0.9950,0.0000,11.2449,39.4039,7,0.0168,6.0000,13.5000,16.0000,13.0000,8.0000,2.0000,106.5000
Optimzer Config Small Lr0 0100 Momentum0 9500 Weight Decay0 0100,0.9950,0.9758,0.9998,0.9971,0.9950,0.0000,14.1905,42.2886,5,0.0267,2.0000,13.5000,21.0000,13.0000,5.0000,9.0000,108.5000
Optimzer Config Small Lr0 0010 Momentum0 9500 Weight Decay0 1000,0.9950,0.9647,0.9996,0.9971,0.9950,0.0000,9.3020,27.7793,7,0.0251,10.0000,13.5000,14.0000,13.0000,8.0000,7.0000,119.5000
Optimzer Config Small Lr0 0100 Momentum0 9500 Weight Decay0 0010,0.9950,0.9642,0.9994,0.9971,0.9950,0.0000,11.7613,30.5566,4,0.0215,11.0000,13.5000,17.0000,13.0000,2.5000,5.0000,121.0000
Optimzer Config Small Lr0 0100 Momentum0 9000 Weight Decay0 0100,0.9950,0.9753,0.9993,0.9971,0.9950,0.0000,17.8161,43.1106,4,0.0339,3.0000,13.5000,24.0000,13.0000,2.5000,15.0000,121.0000
Optimzer Config Small Lr0 0010 Momentum0 9500 Weight Decay0 0100,0.9950,0.9699,0.9996,0.9971,0.9950,0.0000,10.1119,33.4230,7,0.0475,5.0000,13.5000,15.0000,13.0000,8.0000,23.0000,122.5000
Optimzer Config Small Lr0 0100 Momentum0 9000 Weight Decay0 0010,0.9950,0.9675,0.9995,0.9971,0.9950,0.0000,17.0524,47.8345,4,0.0322,7.0000,13.5000,22.0000,13.0000,2.5000,14.0000,128.0000
Optimzer Config Small Lr0 0010 Momentum0 9900 Weight Decay0 0010,0.9950,0.9621,0.9996,0.9971,0.9950,0.0000,6.3925,20.2769,10,0.0224,14.0000,13.5000,9.0000,13.0000,16.5000,6.0000,129.0000
Optimzer Config Small Lr0 0010 Momentum0 9000 Weight Decay0 1000,0.9950,0.9666,0.9996,0.9971,0.9950,0.0000,12.4397,44.3793,8,0.0306,8.0000,13.5000,19.0000,13.0000,11.5000,12.0000,132.0000
Optimzer Config Small Lr0 0010 Momentum0 9000 Weight Decay0 0100,0.9950,0.9665,0.9996,0.9971,0.9950,0.0000,13.0654,47.9551,8,0.0276,9.0000,13.5000,20.0000,13.0000,11.5000,10.0000,135.0000
Optimzer Config Small Lr0 0010 Momentum0 9900 Weight Decay0 1000,0.9950,0.9558,0.9996,0.9971,0.9950,0.0000,7.1649,18.3367,9,0.0215,16.0000,13.5000,11.0000,13.0000,14.5000,4.0000,135.0000
Optimzer Config Small Lr0 0010 Momentum0 9500 Weight Decay0 0010,0.9950,0.9619,0.9995,0.9971,0.9950,0.0000,9.2986,30.5251,8,0.0255,15.0000,13.5000,13.0000,13.0000,11.5000,8.0000,137.0000
Optimzer Config Small Lr0 0010 Momentum0 9900 Weight Decay0 0100,0.9950,0.9377,0.9995,0.9971,0.9950,0.0000,8.6688,30.2532,10,0.0193,17.0000,13.5000,12.0000,13.0000,16.5000,3.0000,141.0000
Optimzer Config Small Lr0 0100 Momentum0 9900 Weight Decay0 0100,0.9950,0.9708,0.9990,0.9971,0.9950,0.0000,41.1448,137.1750,9,0.0437,4.0000,13.5000,25.0000,13.0000,14.5000,21.0000,144.0000
Optimzer Config Small Lr0 0100 Momentum0 9900 Weight Decay0 0010,0.9950,0.9634,0.9993,0.9971,0.9950,0.0000,114.2117,442.4762,8,0.0149,13.0000,13.5000,26.0000,13.0000,11.5000,1.0000,150.0000
Optimzer Config Small Lr0 0001 Momentum0 9500 Weight Decay0 0100,0.9950,0.9126,0.9994,0.9971,0.9950,0.0000,3.4212,9.8783,21,0.0370,20.0000,13.5000,2.0000,13.0000,20.5000,19.0000,150.0000
Optimzer Config Small Lr0 0100 Momentum0 9000 Weight Decay0 1000,0.9950,0.9635,0.9994,0.9971,0.9950,0.0000,17.2990,45.5548,6,0.0352,12.0000,13.5000,23.0000,13.0000,6.0000,17.0000,151.5000
Optimzer Config Small Lr0 0001 Momentum0 9000 Weight Decay0 0010,0.9950,0.9140,0.9991,0.9971,0.9950,0.0000,4.7454,9.2488,20,0.0444,19.0000,13.5000,4.0000,13.0000,19.0000,22.0000,152.5000
Optimzer Config Small Lr0 0001 Momentum0 9000 Weight Decay0 0100,0.9950,0.9204,0.9982,0.9970,0.9950,0.0000,6.5031,9.1401,19,0.0361,18.0000,13.5000,10.0000,13.0000,18.0000,18.0000,156.5000
Optimzer Config Small Lr0 0001 Momentum0 9500 Weight Decay0 0010,0.9950,0.9016,0.9991,0.9971,0.9950,0.0000,4.7971,10.0429,28,0.0320,24.0000,13.5000,5.0000,13.0000,23.0000,13.0000,164.5000
Optimzer Config Small Lr0 0001 Momentum0 9900 Weight Decay0 0100,0.9950,0.9124,0.9988,0.9971,0.9950,0.0000,4.2948,5.9535,36,0.0498,21.0000,13.5000,3.0000,13.0000,26.0000,24.0000,165.5000
Optimzer Config Small Lr0 0001 Momentum0 9900 Weight Decay0 0010,0.9950,0.9024,0.9990,0.9968,0.9950,0.0000,3.4070,7.1924,35,0.0594,23.0000,13.5000,1.0000,13.0000,25.0000,26.0000,168.5000
