lr,momentum,weight_decay,name,label,val_map50_95,val_map50,final_val_loss,convergence_epoch,stability,test_map50,test_map50_95
0.010000,0.950000,0.010000,optimzer_config_pretrained_lr0_0100_momentum0_9500_weight_decay0_0100,Optimzer Config Pretrained Lr0 0100 Momentum0 9500 Weight Decay0 0100,0.978644,0.995000,1.176250,1,0.011786,0.995000,0.973502
0.010000,0.900000,0.010000,optimzer_config_pretrained_lr0_0100_momentum0_9000_weight_decay0_0100,Optimzer Config Pretrained Lr0 0100 Momentum0 9000 Weight Decay0 0100,0.980703,0.995000,1.166500,1,0.012086,0.995000,0.976345
0.010000,0.990000,0.100000,optimzer_config_pretrained_lr0_0100_momentum0_9900_weight_decay0_1000,Optimzer Config Pretrained Lr0 0100 Momentum0 9900 Weight Decay0 1000,0.981318,0.995000,1.176750,1,0.014667,0.995000,0.975111
0.000100,0.990000,0.001000,optimzer_config_pretrained_lr0_0001_momentum0_9900_weight_decay0_0010,Optimzer Config Pretrained Lr0 0001 Momentum0 9900 Weight Decay0 0010,0.973717,0.995000,1.177750,4,0.006602,0.995000,0.971341
0.001000,0.990000,0.001000,optimzer_config_pretrained_lr0_0010_momentum0_9900_weight_decay0_0010,Optimzer Config Pretrained Lr0 0010 Momentum0 9900 Weight Decay0 0010,0.979073,0.995000,1.160000,2,0.007920,0.995000,0.976816
0.001000,0.990000,0.010000,optimzer_config_pretrained_lr0_0010_momentum0_9900_weight_decay0_0100,Optimzer Config Pretrained Lr0 0010 Momentum0 9900 Weight Decay0 0100,0.980913,0.995000,1.162000,1,0.007870,0.995000,0.977209
0.000100,0.990000,0.010000,optimzer_config_pretrained_lr0_0001_momentum0_9900_weight_decay0_0100,Optimzer Config Pretrained Lr0 0001 Momentum0 9900 Weight Decay0 0100,0.975377,0.995000,1.181000,4,0.006939,0.995000,0.979240
0.001000,0.900000,0.100000,optimzer_config_pretrained_lr0_0010_momentum0_9000_weight_decay0_1000,Optimzer Config Pretrained Lr0 0010 Momentum0 9000 Weight Decay0 1000,0.974512,0.995000,1.173500,2,0.012646,0.995000,0.975009
0.000100,0.900000,0.100000,optimzer_config_pretrained_lr0_0001_momentum0_9000_weight_decay0_1000,Optimzer Config Pretrained Lr0 0001 Momentum0 9000 Weight Decay0 1000,0.970114,0.995000,1.196250,3,0.006830,0.995000,0.973878
0.010000,0.950000,0.001000,optimzer_config_pretrained_lr0_0100_momentum0_9500_weight_decay0_0010,Optimzer Config Pretrained Lr0 0100 Momentum0 9500 Weight Decay0 0010,0.978308,0.995000,1.177500,1,0.010421,0.995000,0.976036
0.001000,0.950000,0.100000,optimzer_config_pretrained_lr0_0010_momentum0_9500_weight_decay0_1000,Optimzer Config Pretrained Lr0 0010 Momentum0 9500 Weight Decay0 1000,0.976486,0.995000,1.155000,2,0.009635,0.995000,0.975475
0.010000,0.900000,0.001000,optimzer_config_pretrained_lr0_0100_momentum0_9000_weight_decay0_0010,Optimzer Config Pretrained Lr0 0100 Momentum0 9000 Weight Decay0 0010,0.976003,0.995000,1.226500,1,0.009080,0.995000,0.972446
0.000100,0.950000,0.100000,optimzer_config_pretrained_lr0_0001_momentum0_9500_weight_decay0_1000,Optimzer Config Pretrained Lr0 0001 Momentum0 9500 Weight Decay0 1000,0.974360,0.995000,1.183250,3,0.006892,0.995000,0.973556
0.000100,0.900000,0.010000,optimzer_config_pretrained_lr0_0001_momentum0_9000_weight_decay0_0100,Optimzer Config Pretrained Lr0 0001 Momentum0 9000 Weight Decay0 0100,0.972431,0.995000,1.198000,3,0.008837,0.995000,0.970015
0.001000,0.900000,0.010000,optimzer_config_pretrained_lr0_0010_momentum0_9000_weight_decay0_0100,Optimzer Config Pretrained Lr0 0010 Momentum0 9000 Weight Decay0 0100,0.975119,0.995000,1.166500,3,0.008848,0.995000,0.977266
0.000100,0.950000,0.010000,optimzer_config_pretrained_lr0_0001_momentum0_9500_weight_decay0_0100,Optimzer Config Pretrained Lr0 0001 Momentum0 9500 Weight Decay0 0100,0.972710,0.995000,1.186750,3,0.007122,0.995000,0.976992
0.001000,0.950000,0.010000,optimzer_config_pretrained_lr0_0010_momentum0_9500_weight_decay0_0100,Optimzer Config Pretrained Lr0 0010 Momentum0 9500 Weight Decay0 0100,0.976209,0.995000,1.165500,3,0.004985,0.995000,0.975980
0.010000,0.990000,0.001000,optimzer_config_pretrained_lr0_0100_momentum0_9900_weight_decay0_0010,Optimzer Config Pretrained Lr0 0100 Momentum0 9900 Weight Decay0 0010,0.977197,0.995000,1.185250,1,0.006294,0.995000,0.979596
0.000100,0.990000,0.100000,optimzer_config_pretrained_lr0_0001_momentum0_9900_weight_decay0_1000,Optimzer Config Pretrained Lr0 0001 Momentum0 9900 Weight Decay0 1000,0.973737,0.995000,1.190500,3,0.006498,0.995000,0.972126
0.001000,0.990000,0.100000,optimzer_config_pretrained_lr0_0010_momentum0_9900_weight_decay0_1000,Optimzer Config Pretrained Lr0 0010 Momentum0 9900 Weight Decay0 1000,0.976926,0.995000,1.156750,1,0.006105,0.995000,0.973442
0.010000,0.990000,0.010000,optimzer_config_pretrained_lr0_0100_momentum0_9900_weight_decay0_0100,Optimzer Config Pretrained Lr0 0100 Momentum0 9900 Weight Decay0 0100,0.980356,0.995000,1.165500,2,0.011434,0.995000,0.976612
0.001000,0.900000,0.001000,optimzer_config_pretrained_lr0_0010_momentum0_9000_weight_decay0_0010,Optimzer Config Pretrained Lr0 0010 Momentum0 9000 Weight Decay0 0010,0.981913,0.995000,1.156000,4,0.010108,0.995000,0.976432
0.000100,0.900000,0.001000,optimzer_config_pretrained_lr0_0001_momentum0_9000_weight_decay0_0010,Optimzer Config Pretrained Lr0 0001 Momentum0 9000 Weight Decay0 0010,0.971854,0.995000,1.185250,4,0.010105,0.995000,0.974129
0.010000,0.950000,0.100000,optimzer_config_pretrained_lr0_0100_momentum0_9500_weight_decay0_1000,Optimzer Config Pretrained Lr0 0100 Momentum0 9500 Weight Decay0 1000,0.978892,0.995000,1.174000,1,0.009898,0.995000,0.972950
0.001000,0.950000,0.001000,optimzer_config_pretrained_lr0_0010_momentum0_9500_weight_decay0_0010,Optimzer Config Pretrained Lr0 0010 Momentum0 9500 Weight Decay0 0010,0.978347,0.995000,1.162000,2,0.010485,0.995000,0.977383
0.010000,0.900000,0.100000,optimzer_config_pretrained_lr0_0100_momentum0_9000_weight_decay0_1000,Optimzer Config Pretrained Lr0 0100 Momentum0 9000 Weight Decay0 1000,0.977246,0.995000,1.180500,1,0.010455,0.995000,0.970842
0.000100,0.950000,0.001000,optimzer_config_pretrained_lr0_0001_momentum0_9500_weight_decay0_0010,Optimzer Config Pretrained Lr0 0001 Momentum0 9500 Weight Decay0 0010,0.974580,0.995000,1.201000,3,0.008085,0.995000,0.973626
