Experiment,Val_mAP@0.5,Val_mAP@0.5:0.95,Precision,Recall,Test_mAP@0.5,Val-Test_Gap_%,Train-Val_Gap_%,Gap_Std_%,Convergence_Epoch,Stability_Std,Rank_mAP50-95,Rank_Test_mAP,Rank_Train-Val_Gap,Rank_Val-Test_Gap,Rank_Convergence,Rank_Stability,Total_Score
Optimzer Config Pretrained Lr0 0010 Momentum0 9900 Weight Decay0 0100,0.9950,0.9809,0.9996,0.9971,0.9950,0.0000,10.3475,27.0522,1,0.0079,3.0000,14.0000,17.0000,14.0000,5.5000,10.0000,107.5000
Optimzer Config Pretrained Lr0 0010 Momentum0 9900 Weight Decay0 0010,0.9950,0.9791,0.9996,0.9971,0.9950,0.0000,8.8315,17.8498,2,0.0079,6.0000,14.0000,14.0000,14.0000,13.0000,11.0000,119.0000
Optimzer Config Pretrained Lr0 0010 Momentum0 9000 Weight Decay0 0010,0.9950,0.9819,0.9968,0.9971,0.9950,0.0000,9.3940,20.1841,4,0.0101,1.0000,14.0000,16.0000,14.0000,25.5000,19.0000,128.5000
Optimzer Config Pretrained Lr0 0010 Momentum0 9900 Weight Decay0 1000,0.9950,0.9769,0.9996,0.9971,0.9950,0.0000,13.2999,44.5842,1,0.0061,13.0000,14.0000,19.0000,14.0000,5.5000,2.0000,133.5000
Optimzer Config Pretrained Lr0 0010 Momentum0 9500 Weight Decay0 0010,0.9950,0.9783,0.9996,0.9971,0.9950,0.0000,7.4827,14.1542,2,0.0105,9.0000,14.0000,12.0000,14.0000,13.0000,22.0000,135.0000
Optimzer Config Pretrained Lr0 0010 Momentum0 9500 Weight Decay0 0100,0.9950,0.9762,0.9995,0.9971,0.9950,0.0000,7.3352,13.9992,3,0.0050,15.0000,14.0000,11.0000,14.0000,19.5000,1.0000,136.5000
Optimzer Config Pretrained Lr0 0100 Momentum0 9500 Weight Decay0 1000,0.9950,0.9789,0.9995,0.9971,0.9950,0.0000,32.5010,83.5656,1,0.0099,7.0000,14.0000,23.0000,14.0000,5.5000,17.0000,138.5000
Optimzer Config Pretrained Lr0 0100 Momentum0 9000 Weight Decay0 0100,0.9950,0.9807,0.9991,0.9971,0.9950,0.0000,33.0084,84.7129,1,0.0121,4.0000,14.0000,24.0000,14.0000,5.5000,25.0000,139.5000
Optimzer Config Pretrained Lr0 0100 Momentum0 9900 Weight Decay0 1000,0.9950,0.9813,0.9996,0.9971,0.9950,0.0000,96.2880,324.0075,1,0.0147,2.0000,14.0000,26.0000,14.0000,5.5000,27.0000,139.5000
Optimzer Config Pretrained Lr0 0001 Momentum0 9900 Weight Decay0 0100,0.9950,0.9754,0.9988,0.9971,0.9950,0.0000,2.3982,2.3749,4,0.0069,17.0000,14.0000,3.0000,14.0000,25.5000,8.0000,139.5000
Optimzer Config Pretrained Lr0 0010 Momentum0 9500 Weight Decay0 1000,0.9950,0.9765,0.9996,0.9971,0.9950,0.0000,6.4460,10.1453,2,0.0096,14.0000,14.0000,10.0000,14.0000,13.0000,16.0000,140.0000
