Experiment,Val_mAP@0.5,Val_mAP@0.5:0.95,Precision,Recall,Test_mAP@0.5,Val-Test_Gap_%,Train-Val_Gap_%,Gap_Std_%,Convergence_Epoch,Stability_Std,Rank_mAP50-95,Rank_Test_mAP,Rank_Train-Val_Gap,Rank_Val-Test_Gap,Rank_Convergence,Rank_Stability,Total_Score
Phase 2 Light Augmentation (All Images) (avg n=3),0.9950,0.9829,0.9996,0.9971,0.9950,0.0000,18.4587,14.0030,4,0.0061,1.0000,8.0000,1.0000,6.5000,1.5000,1.0000,33.2500
Phase 2 No Augmentation (All Images) (avg n=3),0.9950,0.9812,0.9997,0.9971,0.9950,0.0000,20.1600,14.2769,4,0.0076,2.0000,8.0000,2.0000,6.5000,1.5000,3.0000,40.2500
Phase 2 Light Augmentation (80 Images) (avg n=3),0.9950,0.9795,0.9996,0.9971,0.9950,0.0000,25.8988,21.4384,7,0.0065,3.0000,8.0000,3.0000,6.5000,3.5000,2.0000,46.2500
Phase 2 No Augmentation (80 Images) (avg n=3),0.9950,0.9795,0.9994,0.9971,0.9950,0.0000,26.7446,19.4381,7,0.0081,4.0000,8.0000,4.0000,6.5000,3.5000,4.0000,53.2500
Phase 2 No Augmentation (40 Images) (avg n=3),0.9950,0.9713,0.9996,0.9971,0.9950,0.0000,40.6699,31.2717,15,0.0115,5.0000,8.0000,6.0000,6.5000,8.0000,5.0000,65.7500
Phase 2 Light Augmentation (40 Images) (avg n=3),0.9931,0.9708,0.9976,0.9970,0.9950,0.1942,39.6210,32.4156,16,0.0163,6.0000,8.0000,5.0000,15.0000,9.0000,6.0000,81.5000
Phase 2 No Augmentation (20 Images) (avg n=3),0.9950,0.9599,0.9995,0.9969,0.9950,0.0000,57.0606,37.6277,28,0.0226,7.0000,8.0000,8.0000,6.5000,15.0000,8.0000,85.7500
Phase 2 Light Augmentation (20 Images) (avg n=3),0.9950,0.9560,0.9994,0.9970,0.9950,0.0000,54.2019,34.7814,26,0.0174,9.0000,8.0000,7.0000,6.5000,13.5000,7.0000,87.2500
Phase 2 Full Augmentation (All Images) (avg n=3),0.9950,0.9525,0.9996,0.9971,0.9950,0.0000,87.7593,580.7935,8,0.0756,10.0000,8.0000,10.0000,6.5000,5.0000,9.0000,89.7500
Phase 2 Geo Augmentation (All Images) (avg n=3),0.9949,0.9568,0.9852,0.9971,0.9950,0.0059,201.3592,1323.8554,9,0.0946,8.0000,8.0000,12.0000,14.0000,6.0000,10.0000,101.0000
Phase 2 Full Augmentation (80 Images) (avg n=3),0.9950,0.9237,0.9994,0.9971,0.9950,0.0000,261.3394,1315.4008,11,0.1012,11.0000,8.0000,13.0000,6.5000,7.0000,11.0000,102.7500
Phase 2 Full Augmentation (40 Images) (avg n=3),0.9950,0.9191,0.9962,0.9866,0.9950,0.0000,86.2285,521.9930,22,0.4095,12.0000,8.0000,9.0000,6.5000,11.0000,15.0000,105.7500
Phase 2 Geo Augmentation (20 Images) (avg n=3),0.9950,0.8910,0.9969,0.9933,0.9950,0.0000,262.0261,1360.9322,26,0.2628,14.0000,8.0000,14.0000,6.5000,13.5000,14.0000,123.2500
Phase 2 Geo Augmentation (40 Images) (avg n=3),0.9950,0.8849,0.9988,0.9971,0.9950,0.0000,1972.1754,8758.0050,25,0.1609,16.0000,8.0000,16.0000,6.5000,12.0000,13.0000,130.7500
Phase 2 Geo Augmentation (80 Images) (avg n=3),0.9899,0.9185,0.9962,0.9757,0.9950,0.5127,1237.3144,8978.2899,17,0.1538,13.0000,8.0000,15.0000,16.0000,10.0000,12.0000,131.0000
Phase 2 Full Augmentation (20 Images) (avg n=3),0.9950,0.8874,0.9966,0.9971,0.9950,0.0031,183.4985,501.1551,42,2.7047,15.0000,16.0000,11.0000,13.0000,16.0000,16.0000,150.5000
