epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8476,0.81117,2.55512,1.04399,1,0.24425,0.4907,0.41875,0.55271,3.01943,0.84737,0.0003334,0.0003334,0.0003334
2,44.136,0.43032,0.57299,0.81833,0.90002,0.57443,0.98714,0.88224,0.49739,1.20477,0.82989,0.000669937,0.000669937,0.000669937
3,60.44,0.40029,0.53436,0.81026,0.90565,0.9778,0.99233,0.9152,0.3921,0.84966,0.80792,0.000992612,0.000992612,0.000992612
4,74.5467,0.35228,0.46437,0.80134,0.99429,0.99467,0.99144,0.91876,0.41167,0.52934,0.81042,0.00130142,0.00130142,0.00130142
5,82.0037,0.37455,0.45378,0.80499,0.99412,0.99506,0.99122,0.92454,0.35578,0.48567,0.79966,0.00153497,0.00153497,0.00153497
6,92.6647,0.35506,0.43764,0.80426,0.99179,0.99806,0.99306,0.92758,0.36151,0.42904,0.80271,0.00150197,0.00150197,0.00150197
7,97.2333,0.33843,0.39812,0.80186,0.99349,0.9996,0.99236,0.93728,0.336,0.37281,0.79592,0.00146896,0.00146896,0.00146896
8,104.705,0.32239,0.38391,0.79767,0.99398,0.99983,0.99223,0.93554,0.33336,0.36548,0.79498,0.00143595,0.00143595,0.00143595
9,114.974,0.30551,0.36853,0.79367,0.99392,0.99966,0.99253,0.94463,0.32082,0.34214,0.79283,0.00140295,0.00140295,0.00140295
10,119.898,0.28412,0.34704,0.79078,0.99403,0.99965,0.99179,0.95012,0.29445,0.31476,0.79009,0.00136994,0.00136994,0.00136994
11,127.159,0.26612,0.32858,0.78874,0.99402,0.99974,0.99225,0.96201,0.28352,0.3068,0.78749,0.00133693,0.00133693,0.00133693
12,138.172,0.26377,0.32083,0.78924,0.99416,0.99965,0.99296,0.95274,0.28778,0.29693,0.78889,0.00130393,0.00130393,0.00130393
13,144.332,0.25252,0.30103,0.78674,0.99107,0.99925,0.99201,0.95825,0.26438,0.2875,0.78657,0.00127092,0.00127092,0.00127092
14,151.507,0.25,0.29086,0.78457,0.99399,0.99963,0.99115,0.95957,0.26391,0.28236,0.78479,0.00123791,0.00123791,0.00123791
15,157.879,0.23854,0.27712,0.78315,0.99397,0.99956,0.99221,0.9529,0.2876,0.28082,0.78872,0.00120491,0.00120491,0.00120491
16,164.532,0.24224,0.27322,0.78478,0.99413,0.99961,0.99208,0.95057,0.28746,0.27307,0.78892,0.0011719,0.0011719,0.0011719
17,172.357,0.23951,0.26434,0.78401,0.99408,0.99957,0.99253,0.96447,0.25866,0.26634,0.78532,0.00113889,0.00113889,0.00113889
18,180.927,0.22091,0.25408,0.78094,0.99421,0.99967,0.99139,0.95792,0.26182,0.25324,0.7854,0.00110589,0.00110589,0.00110589
19,190.124,0.21721,0.24897,0.77909,0.99409,0.99975,0.99065,0.96006,0.25579,0.25083,0.78391,0.00107288,0.00107288,0.00107288
20,196.348,0.20854,0.2446,0.77953,0.99363,1,0.99349,0.96137,0.25604,0.24283,0.78392,0.00103987,0.00103987,0.00103987
21,204.986,0.19905,0.23485,0.77936,0.99309,1,0.99282,0.96307,0.24407,0.23743,0.78279,0.00100687,0.00100687,0.00100687
22,211.152,0.19801,0.23159,0.77651,0.99283,0.99986,0.99313,0.96578,0.25136,0.23333,0.78325,0.000973861,0.000973861,0.000973861
23,220.175,0.19098,0.21951,0.77601,0.99319,0.99979,0.99272,0.9637,0.24659,0.23038,0.78265,0.000940855,0.000940855,0.000940855
24,226.191,0.19393,0.21615,0.77666,0.9941,1,0.99265,0.95689,0.26905,0.23425,0.78631,0.000907848,0.000907848,0.000907848
25,233.861,0.19988,0.2163,0.77672,0.99335,0.99973,0.99358,0.95786,0.26461,0.23334,0.78457,0.000874842,0.000874842,0.000874842
26,241.726,0.19665,0.21314,0.77615,0.99336,0.9998,0.99408,0.96269,0.24198,0.22274,0.78193,0.000841835,0.000841835,0.000841835
27,251.334,0.18479,0.20591,0.77564,0.99422,0.99995,0.99269,0.95877,0.25379,0.2261,0.78343,0.000808828,0.000808828,0.000808828
28,260.307,0.18325,0.20463,0.77568,0.99406,0.99977,0.99382,0.96639,0.24054,0.21548,0.78227,0.000775822,0.000775822,0.000775822
29,268.902,0.17867,0.19764,0.77519,0.99349,0.99979,0.9937,0.95994,0.24749,0.21632,0.78277,0.000742815,0.000742815,0.000742815
30,275.246,0.1716,0.19687,0.77259,0.99337,0.99976,0.99418,0.96791,0.23978,0.20987,0.78135,0.000709809,0.000709809,0.000709809
31,284.434,0.1629,0.18614,0.7746,0.99406,0.99971,0.99221,0.96591,0.23385,0.20724,0.78109,0.000676802,0.000676802,0.000676802
32,290.43,0.15977,0.1841,0.77238,0.99413,0.9998,0.9922,0.96523,0.23852,0.20694,0.78154,0.000643795,0.000643795,0.000643795
33,298.116,0.15713,0.18178,0.77155,0.99337,0.99979,0.99303,0.96507,0.2365,0.2035,0.78092,0.000610789,0.000610789,0.000610789
34,308.047,0.14852,0.17589,0.77157,0.99369,0.99982,0.994,0.96919,0.23589,0.19987,0.7817,0.000577782,0.000577782,0.000577782
35,312.487,0.148,0.17246,0.77052,0.99289,0.99978,0.99374,0.96533,0.23541,0.20096,0.78087,0.000544776,0.000544776,0.000544776
36,320.884,0.14485,0.16951,0.7716,0.99408,0.99866,0.99358,0.96475,0.24007,0.20162,0.7809,0.000511769,0.000511769,0.000511769
37,329.928,0.14613,0.16592,0.77032,0.99339,0.99971,0.99386,0.96689,0.23387,0.19819,0.7806,0.000478762,0.000478762,0.000478762
38,336.437,0.13918,0.16666,0.77018,0.99331,0.99972,0.99357,0.96643,0.24156,0.19788,0.78098,0.000445756,0.000445756,0.000445756
39,344.686,0.13941,0.16438,0.76879,0.99412,0.9998,0.99352,0.96654,0.23799,0.19541,0.78111,0.000412749,0.000412749,0.000412749
40,349.897,0.13512,0.16145,0.76871,0.99435,0.99993,0.99277,0.96513,0.23722,0.19832,0.78089,0.000379743,0.000379743,0.000379743
41,368.259,0.1313,0.15946,0.76892,0.99419,0.99982,0.99278,0.96711,0.2305,0.19327,0.78041,0.000346736,0.000346736,0.000346736
42,379.217,0.12638,0.15312,0.76732,0.99414,0.99973,0.99301,0.96425,0.23365,0.19187,0.78033,0.000313729,0.000313729,0.000313729
43,388.784,0.1227,0.15545,0.76766,0.99413,0.99974,0.99333,0.96541,0.23054,0.19211,0.7801,0.000280723,0.000280723,0.000280723
44,397.94,0.11755,0.14976,0.76875,0.99405,0.9992,0.99309,0.96598,0.23197,0.19223,0.7802,0.000247716,0.000247716,0.000247716
45,404.364,0.11493,0.14775,0.76758,0.99405,0.99946,0.99298,0.96582,0.23059,0.19148,0.78018,0.00021471,0.00021471,0.00021471
46,413.526,0.11146,0.1475,0.76879,0.99405,0.99928,0.99288,0.96725,0.23277,0.19234,0.78006,0.000181703,0.000181703,0.000181703
47,421.669,0.10958,0.14198,0.7677,0.99406,0.99947,0.99317,0.9653,0.22996,0.18907,0.77991,0.000148696,0.000148696,0.000148696
48,429.655,0.1093,0.14263,0.76767,0.99408,0.99972,0.99299,0.9659,0.23035,0.19146,0.77982,0.00011569,0.00011569,0.00011569
49,437.909,0.10518,0.13905,0.76587,0.99406,0.99966,0.99285,0.96687,0.23048,0.19092,0.77973,8.26832e-05,8.26832e-05,8.26832e-05
50,446.002,0.10507,0.13983,0.76634,0.99412,0.99974,0.99292,0.96639,0.23116,0.19027,0.77988,4.96766e-05,4.96766e-05,4.96766e-05
