epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
0,3.5485241,2.7899048,2.3764286,5.5480003,16748.809,625.6027,0.0027419354838709676,0.14325842696629212,0.0017755310495684454,0.0004951833517496297,0.0028000000000000004
1,2.444238,1.6411428,1.7378572,7.33,114343.05,8503.059,0.0,0.0,0.0,0.0,0.00469
2,2.3956666,1.7250953,1.7212379,4.7125,2690355.0,2639.781,0.0,0.0,0.0,0.0,0.006580000000000001
3,2.1226668,1.3170477,1.633762,5.2405,4319.784,68.469,0.001702541651465402,0.07865168539325842,0.0016184055865115763,0.0004056670004739405,0.009997557473810372
4,1.9058093,1.0766668,1.5500478,5.413,26.446,34.4855,0.5589786316725608,0.27808988764044945,0.06908008902748222,0.022599036178034736,0.009990232305719944
5,1.5966666,0.86547613,1.4675715,1.666,10.9065,1.5027499,0.48447149129306366,0.8862227472573414,0.8556801963651963,0.6606453274723241,0.009978031724785246
6,1.866,1.0409524,1.559381,1.4927499,8.046249,1.37725,0.5608677310694903,0.929266112016714,0.9467445310927491,0.7840795249852511,0.009960967771506665
7,1.6771429,0.99580956,1.4878572,7.5302496,2003.3572,11.9922495,0.008111097456064888,0.3707865168539326,0.009661120605972493,0.002277607309121969,0.009939057285945933
8,1.7208096,0.96076185,1.5050001,5.7599998,5.9595003,3.43275,0.06340905258327212,0.0898876404494382,0.03415310336699123,0.018151862936515308,0.00991232189110701
9,1.6365713,0.9615714,1.487,5.9877496,10.8715,4.1455,0.0,0.0,0.0,0.0,0.0098807879715968
10,1.5622379,0.87585723,1.4677618,4.58175,9.40825,2.73275,0.005649717514124294,0.011235955056179775,0.0028990176996058835,0.0005780634921766318,0.009844486647586725
11,1.5212382,0.819857,1.4413332,1.6472499,6.5377502,1.50475,0.3883267426761452,0.4473836276083467,0.27922988544545857,0.2020337996560387,0.009803453744100868
12,1.485143,0.7912381,1.4338094,1.0717499,1.71675,1.25875,0.857426265905729,0.9699446442023825,0.9720434265151412,0.8391273700190528,0.009757729755661011
13,1.3810476,0.7437619,1.4068096,0.91425,0.61724997,1.231,0.9691555089755224,0.9903183278592089,0.9866516023680723,0.8819393965999778,0.009707359806323416
14,1.2010477,0.6157618,1.3531904,0.85375,0.54225,1.22275,0.9733755002786793,0.9898794009780072,0.9868693261689807,0.8967024919098845,0.009652393605146845
15,1.2898095,0.7034761,1.3854285,0.9075,0.636,1.23025,0.9535286960792821,0.9892791027013517,0.9845450817523631,0.8945939661054721,0.009592885397135707
