epoch,train/box_loss,train/cls_loss,train/dfl_loss,train/spatial_loss,val/box_loss,val/cls_loss,val/dfl_loss,val/spatial_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
0,3.2809997,3.6857002,3.5052502,0.0,5.5084996,4.1019998,5.2304997,0.0,0.0,0.0,0.0,0.0,0.00271
1,2.1561,2.2215,2.27875,0.0,3.9472501,4.0525,6.7139997,0.0,0.0,0.0,0.0,0.0,0.00451
2,1.4928501,1.4500499,1.6878498,0.0,4.60675,4.1945,5.9102497,0.0,0.0,0.0,0.0,0.0,0.0063100000000000005
3,1.0884998,0.92685,1.4254501,0.0,1.4384999,1.7944999,1.8339999,0.0,0.7330967060238944,0.5394819411849484,0.6860565033491623,0.41107007072778556,0.01
4,0.9236,0.75415003,1.2646998,0.0,1.32925,62.3505,3.1247501,0.0,0.790566037735849,0.47382180942552454,0.6491236532675411,0.35777692535781597,0.01
5,0.87160015,0.65975,1.2090499,0.0,1.288,31.700249,2.45125,0.0,0.8441988172345818,0.4656690746474028,0.6743832823159747,0.4319916282187447,0.01
6,0.8051999,0.58449996,1.1354,0.0,1.16125,7.40825,1.94975,0.0,0.6115992943472853,0.9941348469212246,0.9878213271284879,0.6615852088626908,0.01
7,0.78569996,0.5591501,1.1015998,0.0,1.0782499,6.61075,1.73225,0.0,0.46357701312977573,0.9970760233918128,0.9918195608108762,0.7317400196949164,0.01
8,0.7625,0.52529997,1.07375,0.0,1.048,11.696251,1.7455,0.0,0.3504520696592253,0.9924071879505124,0.9631230598129168,0.7285222187845443,0.01
9,0.73115003,0.51159996,1.0414499,0.0,0.863,1.6707499,1.2365,0.0,0.9399307618109719,0.9970760233918128,0.995,0.7891712693051269,0.01
10,0.71885,0.48944998,1.02985,0.0,0.9065,1.1524999,1.20625,0.0,0.9451695151381455,0.9920048457104216,0.9942934173669469,0.770011192849106,0.01
