epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5489,2.91094,3.11147,2.24198,0.00967,0.49719,0.44804,0.2475,1.08925,3.42625,1.2595,0.00046676,0.00046676,0.00046676
2,26.7144,2.13607,1.54331,1.69355,0.00958,0.5,0.30786,0.25738,1.18725,2.894,1.316,0.000781823,0.000781823,0.000781823
3,44.0459,1.54107,1.0223,1.45784,0.00804,0.4073,0.02048,0.0053,4.29875,3.35875,3.184,0.001096886,0.001096886,0.001096886
4,56.2318,1.62465,1.00832,1.48422,0.50955,0.60291,0.69991,0.56332,1.651,2.42725,1.397,0.0016624796597915611,0.0016624796597915611,0.0016624796597915611
5,67.345,1.64709,1.00214,1.50667,0.22017,0.98581,0.85514,0.72678,1.15375,1.83325,1.28925,0.001648968164959511,0.001648968164959511,0.001648968164959511
6,82.7059,1.63182,0.95071,1.48357,0.14412,0.87486,0.26153,0.15787,2.12175,3.959,1.79125,0.0016266135502686907,0.0016266135502686907,0.0016266135502686907
7,96.0338,1.36782,0.71801,1.40093,0.0323,0.82896,0.37413,0.25065,1.9445,2.44,1.676,0.0015956607375556568,0.0015956607375556568,0.0015956607375556568
8,105.6178,1.29254,0.66105,1.37678,0.03758,0.98872,0.96948,0.87318,0.906,1.1095,1.249,0.0015564488523137866,0.0015564488523137866,0.0015564488523137866
9,115.166,1.34294,0.73232,1.39952,0.06797,0.99719,0.98253,0.87759,0.94875,0.655,1.2535,0.0015094075081634037,0.0015094075081634037,0.0015094075081634037
10,124.5384,1.24049,0.62568,1.36035,0.04119,0.99719,0.98797,0.91224,0.819,0.59475,1.22,0.0014550520999150542,0.0014550520999150542,0.0014550520999150542
11,137.2066,1.29124,0.62982,1.37613,0.03798,0.99719,0.97159,0.85767,1.05625,0.9265,1.26125,0.0013939781567961073,0.0013939781567961073,0.0013939781567961073
12,147.3236,1.14452,0.53198,1.32808,0.04165,0.99719,0.98983,0.92638,0.69175,0.31825,1.19775,0.0013268548177079187,0.0013268548177079187,0.0013268548177079187
13,157.652,1.08527,0.49874,1.32273,0.05787,0.99719,0.98366,0.93023,0.6655,0.363,1.19875,0.0012544175,0.0012544175,0.0012544175
14,168.1607,1.15168,0.52516,1.3352,0.05055,0.99719,0.97864,0.91882,0.67725,0.6075,1.206,0.0011774598420836429,0.0011774598420836429,0.0011774598420836429
15,176.4629,1.04769,0.50713,1.3135,0.09639,0.99719,0.9867,0.94204,0.63775,0.30175,1.1905,0.0010968250081634036,0.0010968250081634036,0.0010968250081634036
16,184.8559,1.02569,0.44755,1.31037,0.08044,0.99719,0.99178,0.94468,0.591,0.26175,1.1845,0.0010133964503536363,0.0010133964503536363,0.0010133964503536363
17,192.949,1.02098,0.41708,1.30585,0.20074,0.99719,0.99272,0.93662,0.6855,0.27625,1.19875,0.0009280882293922534,0.0009280882293922534,0.0009280882293922534
18,201.1427,0.94889,0.39618,1.28521,0.17218,0.99719,0.99172,0.95205,0.56575,0.246,1.1845,0.0008418350000000002,0.0008418350000000002,0.0008418350000000002
19,209.4968,0.94692,0.38753,1.29046,0.17871,0.99719,0.98809,0.94858,0.5725,0.2405,1.184,0.0007555817706077468,0.0007555817706077468,0.0007555817706077468
20,217.9634,0.92959,0.36967,1.28369,0.31313,0.99719,0.99231,0.95725,0.541,0.23375,1.18175,0.0006702735496463637,0.0006702735496463637,0.0006702735496463637
21,228.9281,0.81677,0.33062,1.25757,0.41567,0.99719,0.99143,0.96023,0.52575,0.21425,1.1785,0.0005868449918365966,0.0005868449918365966,0.0005868449918365966
22,237.32,0.78944,0.32812,1.24854,0.56659,0.99719,0.98959,0.95992,0.522,0.205,1.177,0.0005062101579163575,0.0005062101579163575,0.0005062101579163575
23,245.6816,0.74068,0.29566,1.23584,0.4457,0.99719,0.99047,0.96405,0.4855,0.20025,1.17475,0.0004292525000000002,0.0004292525000000002,0.0004292525000000002
24,253.8666,0.70767,0.28388,1.23327,0.5824,0.99719,0.99073,0.96866,0.4845,0.1975,1.17425,0.0003568151822920815,0.0003568151822920815,0.0003568151822920815
25,261.9613,0.68423,0.27114,1.2308,0.58216,0.99719,0.99173,0.96709,0.48075,0.19625,1.1735,0.00028969184320389306,0.00028969184320389306,0.00028969184320389306
26,270.0203,0.65527,0.26263,1.22008,0.62831,0.99719,0.99098,0.96836,0.46125,0.18875,1.1715,0.00022861790008494616,0.00022861790008494616,0.00022861790008494616
27,278.0731,0.66456,0.26685,1.22099,0.54144,0.99719,0.99128,0.96728,0.4645,0.1855,1.1715,0.00017426249183659658,0.00017426249183659658,0.00017426249183659658
28,285.9999,0.60139,0.253,1.20921,0.66613,0.99719,0.99224,0.96742,0.46175,0.18575,1.17075,0.00012722114768621363,0.00012722114768621363,0.00012722114768621363
29,294.055,0.60443,0.24536,1.20975,0.72558,0.99719,0.99206,0.96982,0.44975,0.1815,1.17,8.800926244434317e-05,8.800926244434317e-05,8.800926244434317e-05
30,302.1124,0.58486,0.24183,1.20872,0.71993,0.99719,0.99203,0.96991,0.453,0.17875,1.17025,5.705644973130964e-05,5.705644973130964e-05,5.705644973130964e-05
