epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
0,3.0809999,2.950238,2.2575717,1.3735,3.4779997,1.3225,0.018172377985462097,0.49157303370786515,0.44682718666709526,0.2759059148698783,0.00046676
1,1.9511902,1.3626667,1.6153332,1.59025,3.3107502,1.4162501,0.012097071855383923,0.40735152487961473,0.031871468984992705,0.015404361157495109,0.000781823
2,1.5199999,0.98528564,1.4438096,1.124,2.9185,1.2915,0.920163625827555,0.22174921984437657,0.3933139280740393,0.3277492480375175,0.001096886
3,1.4450002,0.90961903,1.4304762,3.9872499,3.588,2.3655,0.5238814873013283,0.08146067415730338,0.011243263082868655,0.002909619120373073,0.0016624796597915611
4,1.7128094,1.0765239,1.5084286,4.5215,3.83925,2.8985,0.02345946778115364,0.27576243980738363,0.015496852003336413,0.00526262249446339,0.001648968164959511
5,1.4964763,0.81757146,1.447238,2.56325,2.5692499,1.715,0.6790495007508817,0.20787863194501838,0.2546039127630516,0.13102303360943074,0.0016266135502686907
6,1.4426191,0.8231904,1.4213333,3.0007498,6.83775,2.06725,0.08178136696404054,0.4873471946879529,0.05929325464136691,0.034794750745045046,0.0015956607375556568
7,1.4813808,0.7975715,1.425238,3.6585,7.2225,2.22675,0.029246882212746034,0.07138041733547351,0.02066505035137388,0.010767401032235153,0.0015564488523137866
8,1.2304761,0.62961894,1.3534285,1.16125,1.1665,1.30475,0.9478505438125342,0.8196793319727282,0.9056854364851158,0.7876034873444867,0.0015094075081634037
9,1.2062857,0.59085715,1.3540475,0.9935,0.74450004,1.2527499,0.9706075147952553,0.9695801661671488,0.9803927522013514,0.8743147280728003,0.0014550520999150542
10,1.1660953,0.5454286,1.3380953,0.7605,1.0245,1.21675,0.9574577375802693,0.933764436734382,0.9817715159406233,0.9036811379020321,0.0013939781567961073
11,1.072238,0.55009526,1.3143333,0.76225007,0.7635,1.2075,0.9917191121089508,0.9858587479935794,0.9924435952511129,0.9114577209688368,0.0013268548177079187
12,1.1441907,0.5558571,1.336286,0.7085,0.45025,1.196,0.9929491496343017,0.9875942685314747,0.9901265174836498,0.9181320822631767,0.0012544175
13,1.0401429,0.48895237,1.306619,0.60275,0.28125,1.1877501,0.9932806074447464,0.9910391717519549,0.9931564550654455,0.9463365920678963,0.0011774598420836429
14,1.1377143,0.5824762,1.3276665,0.6175,0.28100002,1.1875,0.9931942162667532,0.9884612747859622,0.9924729054912786,0.9383756955190297,0.0010968250081634036
15,0.91866666,0.45847625,1.2791427,0.5805,0.27324998,1.18975,0.9942851526754037,0.9914100377013938,0.9909799729972997,0.9428410334819108,0.0010133964503536363
16,0.9562858,0.44809526,1.2832382,0.59475,0.2555,1.1845001,0.9931102483228736,0.9971044292670341,0.9926929431830296,0.9474915391036294,0.0009280882293922534
17,0.8217619,0.38090473,1.2491428,0.565,0.23625,1.1825,0.9942815277638926,0.9968432316679334,0.9906653029417494,0.951201449283247,0.0008418350000000002
18,0.8417618,0.3891905,1.2572856,0.5825,0.2345,1.183,0.990433379814099,0.9931464320874799,0.9920887769474643,0.9520319954544375,0.0007555817706077468
19,0.8633334,0.40371424,1.26,0.53824997,0.2245,1.1805,0.9942262732406739,0.9907090315520668,0.9921242535762442,0.9560097574656765,0.0006702735496463637
20,0.7962856,0.38004762,1.2459047,0.53050005,0.2165,1.1784999,0.9929531245207173,0.9963206988299592,0.9936995500524376,0.96258077968812,0.0005868449918365966
21,0.6994761,0.31866667,1.2258096,0.50450003,0.20725,1.17575,0.9943461024529564,0.9960564613177458,0.9923882896764252,0.9656124454166426,0.0005062101579163575
22,0.759381,0.35757142,1.237,0.48250002,0.194,1.17425,0.9943421463142366,0.9960938353454434,0.9920669117146552,0.9657775428758107,0.0004292525000000002
23,0.6798571,0.31580952,1.2193334,0.49650002,0.1945,1.17525,0.9943247704340881,0.9946650498839245,0.9916360139439837,0.966546797482034,0.0003568151822920815
24,0.6972381,0.32080954,1.2307619,0.48025,0.1905,1.17475,0.9943470843202936,0.9964064231816775,0.9923531606438546,0.9716978906138729,0.00028969184320389306
25,0.61976177,0.29433334,1.2109523,0.46600002,0.18450001,1.17275,0.993890091612643,0.9967050842459124,0.9922415254237289,0.9707387574244366,0.00022861790008494616
26,0.6220952,0.30333334,1.2101905,0.45975,0.18200001,1.172,0.9943385203205284,0.9953533517354594,0.991976550268872,0.9720511613817828,0.00017426249183659658
27,0.59904766,0.2824286,1.2099999,0.46574998,0.18125,1.17275,0.9943433428686931,0.9948463256489646,0.9918814625306471,0.969018282822093,0.00012722114768621363
28,0.5724762,0.28852382,1.2048571,0.47100002,0.17925,1.17275,0.9943392704825396,0.9952609722116225,0.991501535661472,0.9697188393673137,8.800926244434317e-05
29,0.5667142,0.2741905,1.2052858,0.45799997,0.17699999,1.1712501,0.9943329688186858,0.9943654374451696,0.9916511576381966,0.9724450948591971,5.705644973130964e-05
