epoch,train/box_loss,train/cls_loss,train/dfl_loss,train/spatial_loss,val/box_loss,val/cls_loss,val/dfl_loss,val/spatial_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
0,1.77285,3.1425495,1.6378,0.13605,0.88975,3.4954998,1.2215,0.0,0.021419294115675183,0.5088235294117647,0.483342604253463,0.4154293749782833,8.13e-05
1,0.8388999,1.1809,1.2103,0.000100000005,0.822,3.1740003,1.20525,0.0,0.9536392628350385,0.49707602339181284,0.49599317645449265,0.44801818317076714,0.00013529999999999998
2,0.66244996,0.55085003,1.1883501,0.0,0.7210001,2.61425,1.187,0.0,1.0,0.46198521685174804,0.5251986704421429,0.4793245362412171,0.00018929999999999997
3,0.60825,0.44215003,1.18245,0.000100000005,0.647,1.96625,1.18175,0.0,0.9978078304834087,0.49707602339181284,0.9742399470967509,0.9205652576297971,0.0003
4,0.5742,0.4032,1.1788499,0.0,0.58975,1.5372499,1.17625,0.0,0.9961702947543113,0.5520599777259743,0.995,0.9562586376266772,0.0003
5,0.52619994,0.36154997,1.17265,0.00020000001,0.57225,1.0769999,1.174,0.0,0.994311542464747,0.9970760233918128,0.995,0.9573470570562931,0.0003
6,0.5153,0.3464,1.1708,0.0,0.57475,0.59775,1.1789999,0.0,0.997531702489831,0.9970760233918128,0.995,0.9622157437654856,0.0003
7,0.49365002,0.32475,1.1674,0.0,0.514,0.45575002,1.171,0.0,0.9967694240633846,0.9970760233918128,0.995,0.9679625717365383,0.0003
8,0.49904996,0.3175,1.1668001,0.0,0.50575,0.38775003,1.16975,0.0,0.9992999639090105,0.9970760233918128,0.995,0.9722990735588102,0.0003
9,0.4522,0.29739997,1.1637498,0.0,0.5705,0.3505,1.17775,0.0,0.9996683015421443,0.9970760233918128,0.995,0.9619972710415061,0.0003
10,0.45524997,0.2913,1.1629,0.0,0.53775,0.30925,1.1717501,0.0,0.9994943583911907,0.9970760233918128,0.995,0.9675341773416578,0.0003
11,0.41595006,0.27254996,1.1586499,0.0,0.48675,0.29174998,1.1702499,0.0,0.9995583204289877,0.9970760233918128,0.995,0.9735566020910916,0.0003
12,0.40839997,0.26424998,1.1589999,0.0,0.51475,0.298,1.17075,0.0,0.9994599085431598,0.9970760233918128,0.995,0.9719710411663541,0.0003
13,0.41464996,0.2666,1.1577499,0.0,0.49300003,0.28,1.16875,0.0,0.9966670190684235,0.9970760233918128,0.9947953216374269,0.9754240878283328,0.0003
14,0.37229997,0.24460001,1.1561,0.0,0.49400002,0.26575,1.16875,0.0,0.9969231469950799,0.9970760233918128,0.995,0.9710472715843524,0.0003
15,0.37434998,0.24150002,1.1547501,0.0,0.48299998,0.27275002,1.16925,0.0,0.9968106470340472,0.9970760233918128,0.995,0.9709882142660179,0.0003
16,0.35930002,0.2344,1.154,0.0,0.49800003,0.26525,1.171,0.0,0.9994906827894507,0.9970760233918128,0.995,0.9738169775431776,0.0003
17,0.35099998,0.2277,1.1521,0.0,0.48425,0.27024996,1.17,0.0,0.9965987773473246,0.9970760233918128,0.9943567251461989,0.9704207783619143,0.0003
