epoch,train/box_loss,train/cls_loss,train/dfl_loss,train/spatial_loss,val/box_loss,val/cls_loss,val/dfl_loss,val/spatial_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
0,1.82995,3.3583,1.6559,0.15695,0.94350004,3.50975,1.2360001,0.0,0.01672401248625845,0.5000171998624011,0.4673832406626082,0.39085508204468467,8.13e-05
1,0.89849997,1.5359,1.21645,0.0,0.85275,3.1557503,1.20825,0.0,0.014381968028003692,0.5029411764705882,0.4975842438363888,0.4487225891262698,0.00013529999999999998
2,0.71650004,0.64589995,1.1919999,0.0,0.76750004,2.4052498,1.1935,0.0,1.0,0.4953016602740118,0.6922091106961666,0.634423624730813,0.00018929999999999997
3,0.667,0.47010002,1.18885,0.0,0.606,1.9162501,1.18075,0.0,0.9979998225418076,0.49707602339181284,0.995,0.9609203385906373,0.0003
4,0.5911499,0.4118,1.18185,0.0,0.62100005,1.4415,1.1830001,0.0,0.9973678959776504,0.8196518793650478,0.995,0.9589533151506112,0.0003
5,0.59334993,0.37915,1.1808999,0.000100000005,0.569,0.93075,1.17725,0.0,0.99632831775087,0.9970760233918128,0.995,0.9589095145455417,0.0003
6,0.54700005,0.34495002,1.1751999,0.0,0.557,0.55925,1.17475,0.0,0.9989203558446912,0.9970760233918128,0.995,0.9620065760728543,0.0003
7,0.5225001,0.32975,1.17195,0.0,0.51874995,0.44199997,1.1745,0.0,0.9975994146688008,0.9970760233918128,0.995,0.9651775868523979,0.0003
8,0.51440006,0.31680003,1.1715,0.0,0.54550004,0.36825,1.1737499,0.0,0.9990115069115482,0.9970760233918128,0.995,0.963320241532525,0.0003
9,0.4994,0.30685002,1.17125,0.0,0.54175,0.34125,1.174,0.0,0.9994944754563537,0.9970760233918128,0.995,0.9653997719323865,0.0003
10,0.48694998,0.2978,1.16975,0.0,0.52525,0.2985,1.17425,0.0,0.9995716919048301,0.9970760233918128,0.995,0.9694430638033656,0.0003
11,0.46675,0.28195003,1.1669,0.0,0.4965,0.2845,1.172,0.0,0.9996725002893385,0.9970760233918128,0.995,0.9709242550477327,0.0003
12,0.45185003,0.27105004,1.1672,0.0,0.477,0.278,1.17,0.0,0.9995959386231352,0.9970760233918128,0.995,0.9709060635077582,0.0003
13,0.43664995,0.26695004,1.1639999,0.0,0.486,0.26900002,1.1700001,0.0,0.9996123867845322,0.9970760233918128,0.995,0.9666000238366926,0.0003
14,0.43545,0.25720003,1.1656501,0.0,0.5445,0.27125,1.17875,0.0,0.999555884050239,0.9970760233918128,0.995,0.961027374316337,0.0003
15,0.4323,0.25079998,1.1641,0.0,0.50575,0.26000002,1.1705,0.0,0.9995729202515209,0.9970760233918128,0.995,0.967982050564246,0.0003
